52.5613435;103.8792233;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  10 квл  8";"1;7;8;14;15;21;22;28;29";0
52.55545;103.87291;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  1 квл  11 (ул. Набережная  стр. 4)";"1;7;8;14;15;21;22;28;29";0
52.5955992;103.8980047;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  1-й промышленный массив  48 квл  14";"2;3;9;10;16;17;23;24;30;31";0
52.5855066;103.9160437;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  1-й промышленный массив  27 квл  6";"2;9;16;23;30";0
52.5506466;103.8832302;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  35 квл  22";"2;9;16;23;30";0
52.54177;103.90089;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  108 квл  7/3";"2;3;9;10;16;17;23;24;30;31";0
52.54144;103.90154;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  108 квл  10";"2;9;16;23;30";0
52.5407698;103.8797285;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  72 квл  11";"2;9;16;23;30";0
52.5399613;103.8825083;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  72 квл  21";"2;9;16;23;30";0
52.5405759;103.8732918;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  71 квл  2/2";"2;9;16;23;30";0
52.5386228;103.8860993;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  81 квл  18";"2;9;16;23;30";0
52.5208871;103.8696246;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  17 мкр  10";"3;10;17;24;31";0
52.50775;103.86975;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  10 мкр  59";"3;10;17;24;31";0
52.50795;103.86491;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  10 мкр  58";"3;10;17;24;31";0
52.51051;103.84726;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  33 мкр  15";"3;10;17;24;31";0
52.6086849;103.89615;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  1-й промышленный массив  4 квл  1";"4;11;18;25";0
52.596907;103.918061;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  1-й промышленный массив  17 квл  11";4;0
52.5915534;103.920487;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  1-й промышленный массив  17 квл  16";"4;11;18;25";0
52.583511;103.882179;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  ул. Садовая  напротив участка 2а";"4;11;18;25";0
52.5623512;103.8851218;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  8 квл  15";"4;11;18;25";0
52.5552483;103.8849716;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  23 квл  32 (ул. Сибирская  32)";"4;11;18;25";0
52.5541781;103.8797667;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  25 квл  3";"4;11;18;25";0
52.550714;103.8778745;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  37 квл  10";"4;11;18;25";0
52.548195;103.924361;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  1-й промышленный массив  52 квл  15";"4;11;18;25";0
52.544654;103.875026;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  47 квл  18";"4;11;18;25";0
52.53995;103.90017;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  108 квл  9";"4;11;18;25";0
52.5388234;103.8814006;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  82 квл  4";"4;14;24";0
52.53916;103.86652;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  95 квл  16А";"4;11;18;25";0
52.5311783;103.8931201;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  93 квл  9";"4;11;18;25";0
52.5293767;103.8936621;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  93 квл  39";"4;11;18;25";0
52.5279438;103.8918275;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  93 квл  34";"4;11;18;25";0
52.53063;103.93248;"Гараж АМП;У 424 ВХ 138;1.0;Промзона АНХК  ст. Южная (ворота Ремонтного депо  напротив ТЭЦ-9)";"4;11;18;25";0
52.526558;103.855098;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  29 мкр  26";19;0
52.598034;103.848863;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  мкр. Китой  пер. Школьный  10";"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.597258;103.853788;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  мкр. Китой  пер. Молодежный  21";"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.591738;103.859293;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  мкр. Китой  пер. Замкнутый";"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.592817;103.86797;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  мкр. Китой  ул. 1-я Комсомольская  17";"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.596561;103.872656;"Гараж АМП;У 424 ВХ 138;1.0;Ангарск  мкр. Китой  пересечение ул. Озерная и Промысловая";"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
